"ID";"WijkenEnBuurten";"Codering_3";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66"
"16286";"BU00980013";"BU00980013";"     190";"     270";"      50"
"16287";"BU00980014";"BU00980014";"     120";"     150";"      30"
"16288";"BU00980015";"BU00980015";"     130";"     170";"      70"
"16289";"BU00980016";"BU00980016";"     170";"     170";"      40"
"16290";"BU00980017";"BU00980017";"      70";"     120";"      50"
"16291";"BU00980018";"BU00980018";"       .";"       .";"       ."
"16292";"BU00980019";"BU00980019";"      50";"     210";"     100"
"16293";"BU00980020";"BU00980020";"     110";"     210";"     230"
"16294";"BU00980021";"BU00980021";"      10";"      30";"      10"
"16295";"WK009801  ";"WK009801  ";"     150";"     240";"     120"
"16296";"BU00980101";"BU00980101";"      60";"      70";"      30"
"16297";"BU00980102";"BU00980102";"      30";"      60";"      30"
"16298";"BU00980103";"BU00980103";"      30";"      40";"      20"
"16299";"BU00980104";"BU00980104";"      30";"      70";"      40"
"16300";"WK009802  ";"WK009802  ";"      80";"     150";"      70"
"16301";"BU00980201";"BU00980201";"      30";"      60";"      30"
"16302";"BU00980202";"BU00980202";"      50";"      90";"      40"
"16303";"WK009803  ";"WK009803  ";"     120";"     380";"     150"
"16304";"BU00980301";"BU00980301";"      20";"      60";"      20"
"16305";"BU00980302";"BU00980302";"      10";"      60";"      20"
"16306";"BU00980303";"BU00980303";"      20";"      70";"      30"
"16307";"BU00980304";"BU00980304";"      40";"     130";"      50"
"16308";"BU00980305";"BU00980305";"      30";"      60";"      20"
"16309";"WK009804  ";"WK009804  ";"     100";"     340";"     110"
"16310";"BU00980401";"BU00980401";"      40";"     150";"      60"
"16311";"BU00980402";"BU00980402";"      10";"      80";"      20"
"16312";"BU00980403";"BU00980403";"      50";"     120";"      30"
"16313";"WK009805  ";"WK009805  ";"      80";"     160";"     100"
"16314";"BU00980501";"BU00980501";"      40";"      60";"      50"
"16315";"BU00980502";"BU00980502";"      40";"     100";"      50"
"16316";"WK009806  ";"WK009806  ";"      60";"     190";"     120"
"16317";"BU00980601";"BU00980601";"      10";"      50";"      30"
"16318";"BU00980602";"BU00980602";"      40";"     140";"      90"
"16319";"WK009807  ";"WK009807  ";"     250";"     330";"     120"
"16320";"BU00980701";"BU00980701";"     230";"     290";"     110"
"16321";"BU00980702";"BU00980702";"      20";"      40";"      10"
"16322";"WK009808  ";"WK009808  ";"     220";"     430";"     170"
"16323";"BU00980801";"BU00980801";"     150";"     270";"      90"
"16324";"BU00980802";"BU00980802";"      70";"     150";"      70"
"16325";"WK009809  ";"WK009809  ";"      80";"     230";"     170"
"16326";"BU00980901";"BU00980901";"      10";"      70";"      40"
"16327";"BU00980902";"BU00980902";"      50";"      70";"      70"
"16328";"BU00980903";"BU00980903";"      20";"      90";"      50"
"16329";"WK009810  ";"WK009810  ";"     920";"    1280";"     510"
"16330";"BU00981001";"BU00981001";"     110";"     100";"      40"
"16331";"BU00981002";"BU00981002";"      20";"      50";"      10"
"16332";"BU00981003";"BU00981003";"     120";"     160";"      70"
"16333";"BU00981004";"BU00981004";"     110";"     150";"      20"
"16334";"BU00981005";"BU00981005";"     370";"     410";"      70"
"16335";"BU00981006";"BU00981006";"      10";"      20";"       0"
"16336";"BU00981007";"BU00981007";"      10";"      50";"      10"
"16337";"BU00981008";"BU00981008";"     110";"     170";"     130"
"16338";"BU00981009";"BU00981009";"      70";"     170";"     140"
"16339";"WK009811  ";"WK009811  ";"      90";"     220";"     110"
"16340";"BU00981101";"BU00981101";"      50";"     100";"      40"
"16341";"BU00981102";"BU00981102";"      50";"     120";"      60"
"16342";"WK009812  ";"WK009812  ";"     120";"      90";"      60"
"16343";"BU00981201";"BU00981201";"     120";"      90";"      60"
"16344";"WK009813  ";"WK009813  ";"     160";"     350";"     170"
